essay_id,condition,gpt_score
5f5de0c1a9ba1163a6f7f78b,No practice,2.6
67110816ee3ab678f80eed04,No practice,3.0
673726b38e7451a580f3c624,No practice,3.6
66fbce9f6636b088d001a4e9,No practice,3.2
673f22a6fe1eb8b74492446c,No practice,3.0
67472b406557adf9044c6e34,No practice,3.2
674dfaa7d928f0bfb0084339,No practice,3.0
673a2837d5cb152d08ee5be8,No practice,3.4
674ecab9c4b5d7e72489cc90,No practice,3.4
67143d6ceca675fc7f56d6ad,No practice,2.8
6630f8c1f995b01de9767c7d,No practice,3.6
673840bbbf35e7a4a6ad3918,No practice,3.6
6744f2b0bc094f0202eee300,No practice,3.2
67530d3f746600868ad35364,No practice,3.4
6752dfa83d6bd053f4a82672,No practice,3.6
6716deaf9d399c9499b878cd,No practice,3.4
6739909cd20e7e7fcf711ef7,No practice,3.0
650f0436808ab1edc4264660,No practice,3.6
6643cde3471e61890ff943ae,No practice,3.4
6748f02892a5641e585c53b2,No practice,3.4
61474a17f798ccc4e40383da,No practice,3.2
660b8a64848fe5d8cc2c5444,No practice,2.8
672f0bc51dcdd7fd05d5a26b,No practice,2.8
673cf6d476dc4af064402a8c,No practice,3.6
672fb08eff9dcbaeeb666b7e,No practice,3.0
673cd678c75d841b07b4d34a,No practice,3.0
6720de8a0a6c9c0c3b803fb7,No practice,3.4
6129ba3532102d5c539ff29b,No practice,3.4
5bf336d965825d00017cf3c2,No practice,3.4
66d6b541291304cb7e9fcc4e,No practice,3.6
5e2b4e61a7f804000a55eee7,No practice,3.2
66c6952ac1f2b09e6c930cf8,No practice,3.4
5ed68cac121a540dfb82f4ea,No practice,3.0
66e751acca3571686adc14d4,No practice,3.4
6751f03363fdbd0a960f7f87,No practice,4.6
65f5cbcd2324b8dd6f3ff42d,No practice,4.0
5a9ab4944eecca0001dd806a,No practice,4.0
673ed00f3ebd9a8bdb2af956,No practice,4.0
5c1ffe5295f978000173df84,No practice,4.2
674b32fd39976ab4ec92d7d6,No practice,4.6
5f2a13417b4ac51dc95d38c1,No practice,4.0
6748f8e31516667cc3eb71e8,No practice,4.6
6738d0d8a49ff94090a8668a,No practice,4.6
67206083e8af4cf14439ac21,No practice,4.2
67511986975a960bcf3abf18,No practice,4.6
5debed6b3820732ef2af3c55,No practice,4.6
66dd875b792eea0ebd7480c2,No practice,4.2
6742189e9fd5fe9de0d9b729,No practice,4.4
67408294dde74bdcf6ab3624,No practice,3.8
672b535d32de33b44a2c2bf8,No practice,4.2
6732ab9b8627904cc6a8a524,No practice,4.8
61043313db87223a3f2929ed,No practice,4.8
67542c40610c0a42c85564d3,No practice,4.4
67445f0269a82fe014b24be0,No practice,4.6
67073b794c4f1d5d452d23d7,No practice,4.0
673b98ed5c9291ade287dc2d,No practice,4.6
674dd4a8db09aec3c797b225,No practice,4.4
6743ad4dc1bf31373949d647,No practice,4.8
671fae1be03bf361e4a6342e,No practice,4.4
5cd6c1197b871a0001b13589,No practice,4.4
6733248e5bd5390d25c71787,No practice,3.8
66eb8427a91699e7d2eefc29,No practice,3.8
66f4f7ad212140211220fee0,No practice,3.8
6695541a6e0d986b02c25dd9,No practice,3.8
674a00c98d6b23fcec3273be,No practice,3.8
65b549c67c7791499c09f8a2,No practice,4.6
6718c8fc698d34ce5d298fef,No practice,4.4
60da55124ca8924a40a8d91c,No practice,5.8
5aaddb14beaf0b0001707c69,No practice,6.0
670d8b142f87173ffe3b4763,No practice,5.2
671ad3255a64b6879856e3b8,No practice,5.6
6717ca3a61e52dc226157162,No practice,6.0
673ce807b23c287507a4230e,No practice,5.8
67469dde494c2b78202fc16e,No practice,5.6
66f636a15a0ec8d9ef572bae,No practice,5.2
5d203fad20b61f00012aced4,No practice,5.8
67324222a147b9f2c738d0ec,No practice,7.4
6562c873c8002ad2e44b7b33,No practice,5.0
6748fee70bf23692cd9f0de1,No practice,5.8
671b87c9955ba2507a9a9947,No practice,7.0
673bc1b802483aa3f5018d27,No practice,5.0
671b808f72d8aafff77cf0a4,No practice,8.0
675440feacddb63cb9d5988b,No practice,6.0
6740281e046425743a959ce2,No practice,5.0
5eb4c6510ef386339dde2a35,No practice,7.4
6750c7eaec05ae2f773b5be9,No practice,6.8
6725b59fd221a054d8cdc72a,No practice,6.6
67274a937bc73438d89976b8,No practice,5.4
5f49457d8ac21f34cf443e62,No practice,5.2
675662c8da055bc788c8a805,No practice,7.6
610e2de21943396ffccfcf4e,No practice,6.2
673dd729602638e2ca0c3cd7,No practice,5.2
67506ddcd40746bb1f460a23,No practice,6.0
5d7085f70a426200186bc676,No practice,6.4
674065a38ff18a032bc97fa6,No practice,5.8
67570e6b659a69f3542f227c,No practice,6.0
67357ce504c70a09cead4705,No practice,5.6
670fc040eb429afca6ec21e0,No practice,5.2
674e79192cd6a534d097fa86,No practice,5.8
60fd94f3d702e2e637dcc4b1,No practice,6.0
617162d1105c7a764aab90b4,Practice wo AI,3.0
5d0b7d3a1c9a4e001a11dd19,Practice wo AI,3.2
672fe1481ba8b290765e0a76,Practice wo AI,3.6
6742d8af3108e8a56dda101e,Practice wo AI,3.4
673f1dafec0718eb572db268,Practice wo AI,3.0
673af2a9c1f8458caba0ebb8,Practice wo AI,3.0
673dc43ca2f27f065ca2c6da,Practice wo AI,3.0
671a80f4ca33770b00602f07,Practice wo AI,3.4
5dd33f6b2091e93579973754,Practice wo AI,2.8
66edfa4100bafe2855a5654c,Practice wo AI,3.4
65cd90916d6c5ca9f796e9a3,Practice wo AI,3.4
6750f2355fd9ba678f76fa5c,Practice wo AI,3.6
671498899f67df85f33ea053,Practice wo AI,2.8
673b4532dad611895a16ae00,Practice wo AI,3.4
66afb95e579fb899b5e90ab3,Practice wo AI,3.4
672c07a7e4ed661368e89246,Practice wo AI,3.6
673fb829ebd9b9b3c88d4f57,Practice wo AI,3.4
5f371531d5b7e818ee0cf328,Practice wo AI,3.0
6655a82a88d0e8cbcc9dff42,Practice wo AI,1.6
67280753237c0c4258f356a6,Practice wo AI,3.4
63bd8d4ca46f8313570e6fa4,Practice wo AI,3.6
6019ef82db64741e01adb686,Practice wo AI,2.6
66f6f78c68246dd27f4dcc05,Practice wo AI,3.6
62fdda3096b651e5beacf456,Practice wo AI,3.4
673ca896c4ffe7eba1d26499,Practice wo AI,3.2
6717f49882dda1264ded32b9,Practice wo AI,3.2
5df4892578322533c70aecdf,Practice wo AI,3.0
66957ab0e33f6b17bea3a067,Practice wo AI,3.2
6734a7b09364436b5f4d0bef,Practice wo AI,3.6
673215ff162805cf7a252019,Practice wo AI,3.2
6706d57c71b08b435db201ed,Practice wo AI,3.6
67458a62196f76e7fc7b28bf,Practice wo AI,3.2
620bdc0ba922fc3f247f6939,Practice wo AI,3.6
663a8b9eb077de60d6884574,Practice wo AI,3.2
674886cc98e540f712e258b3,Practice wo AI,3.8
58462977d2be990001174ae3,Practice wo AI,4.4
662bdd8c97c290536da33e88,Practice wo AI,4.2
673e249d764205ff4fdc5af1,Practice wo AI,4.2
66df3be52e3a37738fecdf1a,Practice wo AI,5.0
6737043554b7adfcf6ccf4c8,Practice wo AI,4.6
674f5e7bf97ee4e183c9247e,Practice wo AI,4.4
672ede539bd39a8deecc501d,Practice wo AI,4.2
5be728a4dbedc80001377337,Practice wo AI,5.0
5efc9bc405e069062e0f3a6f,Practice wo AI,3.8
6734010bda95d208801d15b0,Practice wo AI,4.4
67461b1c9d6e98cb909d1052,Practice wo AI,4.8
6748cb136c8b12cf06e6b8e1,Practice wo AI,4.2
6741b2d133472ff2947350bf,Practice wo AI,3.8
6718211bee61c726b40afb2b,Practice wo AI,4.2
65b274bf676b7b6d6a92a7bc,Practice wo AI,4.2
673b8d1448db4a031a4a90b2,Practice wo AI,3.8
5d654282986878001c2a5db7,Practice wo AI,4.4
66775344eabb4cc1cbc0120e,Practice wo AI,4.4
5e46aa20caec81000b7d4f93,Practice wo AI,5.0
674a1e9ff099f95c96164b67,Practice wo AI,4.0
5dcc3ec7db13278d75c8622f,Practice wo AI,4.4
66eddcfe67e927db6f0a4768,Practice wo AI,4.4
67224ad15231b5e9538948bd,Practice wo AI,4.0
5f6f738fef894f0dbf9839f8,Practice wo AI,3.8
6701a4d42a2e8c434e0fc50a,Practice wo AI,3.8
6755cf3ef3d14c0c963b12c3,Practice wo AI,3.8
673ece27f62fd4e495b8731c,Practice wo AI,3.8
5bfd81fb2feab400014d9060,Practice wo AI,3.8
672ce0841dfa29f676e37b0f,Practice wo AI,3.8
6736679e7f59a8570f845b14,Practice wo AI,3.8
667d40aa7de88cce486a3beb,Practice wo AI,4.6
671fd6f39d8fe673222a5324,Practice wo AI,3.8
674f49392a04ca838a809c9d,Practice wo AI,5.6
66311c9747a9466bf5dcf6ba,Practice wo AI,6.4
5bb7af73dd840f0001d85935,Practice wo AI,5.2
6739075d10227690e7d142ed,Practice wo AI,6.6
5d18cf6eb3e698001eea9960,Practice wo AI,5.8
6744e6e3ab71f37420a2b512,Practice wo AI,7.0
5e9f138c34d3e40326507588,Practice wo AI,5.4
674219b922bf096aa19e0132,Practice wo AI,5.4
67354657253f396591767b63,Practice wo AI,5.8
67208d3885ff15254cff81a5,Practice wo AI,5.4
674eead0fa651dc021895fd9,Practice wo AI,6.8
5d803d51aa53f30015ce5b77,Practice wo AI,5.6
66d11be993fd125064876a34,Practice wo AI,6.0
673c32d8bcf768ce9f55ac33,Practice wo AI,6.2
673b3cdce48f221ee513c467,Practice wo AI,6.2
672bb303dc26d7849dc27a77,Practice wo AI,6.0
673253900b42a97fc5a371c1,Practice wo AI,5.8
601c1f550370f34ec49ab0b6,Practice wo AI,5.6
6755e7f8aa088eda32fcdc43,Practice wo AI,5.6
673db657aea3fbabfc2dc7e9,Practice wo AI,6.6
670e3c70da3334b19d83bebc,Practice wo AI,5.6
6737aa6cfebe4f707b501d47,Practice wo AI,7.2
67477ac7090d737ae33348ea,Practice wo AI,6.4
673d071d17bf88e3930af5f0,Practice wo AI,5.2
671f79a56247ae73ebb20e5c,Practice wo AI,6.8
5d59b0b61da7d1001aa1a853,Practice wo AI,5.4
673305eed310a7d38c4fb88c,Practice wo AI,5.6
66dfab8a51e1e36892dc419a,Practice wo AI,5.8
66e6d8a2fa6cce78584c8bcd,Practice wo AI,5.2
66ac666f3e030205c277b763,Practice wo AI,5.4
67434ac64ecdf3a681e629cb,Practice wo AI,5.4
65fcdef120c3e7513256ac68,Practice wo AI,5.4
67178d9d0cab3c8f3a70ca8e,Practice wo AI,6.0
6727e10a76e80949064e1e6c,Practice w AI,3.4
5c54a532e3c69b0001af7b8c,Practice w AI,3.6
672f6bb692f6294cbe6e75c0,Practice w AI,3.0
66327d80e38c281ece2d3f1c,Practice w AI,4.0
670c4a94154a76c8d4a4bd83,Practice w AI,3.0
67388a4fd2107e49489b05e6,Practice w AI,2.8
673e12bb731e90ac14d9464c,Practice w AI,3.4
6757f72f155aa5774594c6b3,Practice w AI,3.4
5da497568034e40011366267,Practice w AI,3.8
67155947b83a6aee15acbc0d,Practice w AI,3.4
6734ab3304b4b5bc58df43cd,Practice w AI,3.0
6746a1bc28743cbc2c2feaa8,Practice w AI,3.2
67474b18c19b12c4feeed5d2,Practice w AI,3.0
671e304feab861f71c53159e,Practice w AI,3.6
665cd9869a0ffe598b8b84a7,Practice w AI,3.0
6749e23147701f88fb137f3c,Practice w AI,3.6
673ce5fb976e7b0fec24c1e9,Practice w AI,3.4
5fb701a86c3b2e1da0b3235a,Practice w AI,3.6
6716b72cb62f2e7204264d3c,Practice w AI,2.6
6229ee11f6b5405956544966,Practice w AI,4.2
67530f4304eeee59262e116c,Practice w AI,3.6
60fb024cbfd74cc251c6f9b0,Practice w AI,3.6
6710578884662430d4c6d4b9,Practice w AI,3.0
66639889ea005547089b6cbf,Practice w AI,4.2
67351d5a16ab59e9f1b0946a,Practice w AI,3.2
6567644b0a4a14cbeaac5a79,Practice w AI,3.2
66240955715b3b45903381ed,Practice w AI,3.6
5e7e5df723c3560d66f2946d,Practice w AI,3.0
638a66471585cb7583285740,Practice w AI,3.8
674ecb107dac894c50a95473,Practice w AI,4.2
674f6467df47b9f52bafc85e,Practice w AI,3.8
63f809102d5b3a98cb923306,Practice w AI,3.8
67476bf18ef77c29b9ed3ef4,Practice w AI,3.0
673d1423ff3f7beef3984b8b,Practice w AI,3.2
5bc1408d5a09ea00012e3cd8,Practice w AI,4.4
673775d01ea6f13f83478a98,Practice w AI,5.6
5dd95e3c2274978e775f2aff,Practice w AI,4.6
672e86a538b9e142805a426e,Practice w AI,5.0
673ab124dd6f6df06b143da0,Practice w AI,5.2
66aa80ac332a6f9fb18e4364,Practice w AI,5.2
672f1ca849e55a65b16736aa,Practice w AI,4.6
67043b37df9ef06a056c08a7,Practice w AI,5.6
650c3f3a36d72f87324d708f,Practice w AI,4.8
5fb5ef0ab61b9e02d5752768,Practice w AI,4.4
6717b20f3f98b3e3069401e3,Practice w AI,5.2
6744639f3f41b208789e2b15,Practice w AI,5.0
674efe761abf45787d51a7c3,Practice w AI,5.4
5e4e844553bc702cdf68404d,Practice w AI,5.0
60778db7ed3bae21972be1b4,Practice w AI,5.0
6725246621f607dc27137c03,Practice w AI,5.0
674665004084064b14f073cf,Practice w AI,4.8
6726f38cd14d8ba8644f2bcf,Practice w AI,5.0
66e3551244755a4debcd58d8,Practice w AI,5.4
66d8d824887fc4d4c7a873d4,Practice w AI,5.6
674b3b45f390921a88f24747,Practice w AI,5.4
6727dad78b37b3e6c93092ff,Practice w AI,4.4
6757fef215ee6088e0b7fa55,Practice w AI,4.6
673e4e69ce45d284f16fad2d,Practice w AI,5.6
5e3e54f69e51f80b67c1cc06,Practice w AI,4.6
6712764f69b9fc3c7a0f0ae7,Practice w AI,5.4
662d017cd5d3a0ed42bfe339,Practice w AI,5.6
6705ced6e56f5598aa07112d,Practice w AI,4.6
673f6c92a931906b3b255300,Practice w AI,5.4
674ca03cb3b66e7b92461fc4,Practice w AI,5.0
67418b0073a668a4f01c195f,Practice w AI,4.8
669d6944d79f7655e42582fc,Practice w AI,5.6
66c41e2528dfe10533b505a9,Practice w AI,5.0
674d74930bb10f46df1ca2db,Practice w AI,6.4
6646abc0720d1baaa7e0af4c,Practice w AI,7.2
5c22f28d70d93a0001201738,Practice w AI,6.0
673e2ad54a989f15bc638d5b,Practice w AI,6.8
5ec738ce3c7fd317a72dcfe6,Practice w AI,7.4
6741fe9a07d7d42c5ed043ad,Practice w AI,7.0
6077314ace74aa8fd3f90e9c,Practice w AI,5.8
673ead8d8389b11c02a060e9,Practice w AI,7.2
672f7c36a98c409af1d49bea,Practice w AI,8.2
6716a4d35dcfb3a276097670,Practice w AI,6.0
674d8599e34ae51aa4235454,Practice w AI,7.0
5f89c991f0e3a80101afe091,Practice w AI,6.2
66eadc2f3e0ce992ca6d5db7,Practice w AI,7.8
6736252ad04633e3c76630da,Practice w AI,6.0
6751f332ae95eef3bdc2f3d2,Practice w AI,6.4
6724a516c163624782172432,Practice w AI,7.0
672990f6d28704d466361881,Practice w AI,7.4
60e7739644eb45bfddedf039,Practice w AI,7.6
675345b32d636f68b81a386b,Practice w AI,6.0
6737d3a1eea5bb6f29a9fdcd,Practice w AI,6.0
66fce373051cafbe0961017b,Practice w AI,6.0
673218a457531caf7e24f2a6,Practice w AI,6.0
6744fb5c6a8a3d8e3f531da3,Practice w AI,6.4
6737295e43d8fb5b7a84498b,Practice w AI,6.8
6711c745bcc0626c2de36d07,Practice w AI,6.0
5f5d6b0def06255d5119a9ba,Practice w AI,5.8
672a3e67066f5a781bb96f51,Practice w AI,6.6
66f0d61cc482b4b76567015d,Practice w AI,6.0
66f55772a7312a23f27b3196,Practice w AI,6.0
66aa737c246ab5cf919f921c,Practice w AI,6.4
67414d7323258c912a5a9080,Practice w AI,7.6
6629adbd155fc3428fedad56,Practice w AI,6.8
670e2a711df0a045aea8de04,Practice w AI,5.8
